MPN,Ref,EPID,Title,Brand,Model,Movement,Beats per Hour,Jewels,Style,Case Material,Water Resistance,Watch Shape,Case Thickness,Case Width,Band Width
,6106-8660,,"Seiko 5 6106-8660 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,37mm(without crown),NA
,6106-8670,,"Seiko 5 6106-8670 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,36mm(without crown),NA
,6106-8680,,"Seiko 5 6106-8680 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,38mm(without crown),NA
,6106-8760,,"Seiko 5 6106-8760 ""Actus / SS"" Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,38mm(without crown),NA
,6119-5000,,"Seiko 5 6119-5000 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Square,NA,34mm(without crown),19mm
,6119-5400,,"Seiko 5 6119-5400 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Square,10mm,36mm(without crown),NA
,6119-5401,,"Seiko 5 6119-5401 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Square,10mm,36mm(without crown),NA
,6119-5411,,"Seiko 5 6119-5411 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,40mm(without crown),NA
,6119-5520,,"Seiko 5 6119-5520 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Square,NA,34mm(without crown),NA
,6119-6000,,"Seiko 5 6119-6000 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,12mm,36mm(without crown),18mm
,6119-6010,,"Seiko 5 6119-6010 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,35mm(without crown),18mm
,6119-6020,,"Seiko 5 6119-6020 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,NA,38mm(without crown),19mm
,6119-6023,,"Seiko 5 6119-6023 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,NA,38mm(without crown),19mm
,6119-6050,,"Seiko 5 6119-6050 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,NA,41mm(without crown),NA
,6119-6053,,"Seiko 5 6119-6053 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,NA,41mm(without crown),NA
,6119-6400,,"Seiko 5 6119-6400 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Round,NA,43mm(without crown),NA
,6119-7040,,"Seiko 5 6119-7040 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,36mm(without crown),NA
,6119-7080,,"Seiko 5 6119-7080 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,11mm,36mm(without crown),18mm
,6119-7103,,"Seiko 5 6119-7103 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,11mm,36mm(without crown),18mm
,6119-7140,,"Seiko 5 6119-7140 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,36mm(without crown),NA
,6119-7143,,"Seiko 5 6119-7143 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,36mm(without crown),NA
,6119-7160,,"Seiko 5 6119-7160 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Round,NA,43mm(without crown),NA
,6119-7170,,"Seiko 5 6119-7170 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Round,NA,42mm(without crown),NA
,6119-7173,,"Seiko 5 6119-7173 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Round,NA,42mm(without crown),NA
,6119-7183,,"Seiko 5 6119-7183 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,37mm(without crown),NA
,6119-7420,,"Seiko 5 6119-7420 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,38mm(without crown),NA
,6119-7430,,"Seiko 5 6119-7430 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,11mm,38mm(without crown),17mm
,6119-8083,,"Seiko 5 6119-8083 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,37mm(without crown),NA
,6119-8095,,"Seiko 5 6119-8095 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,36mm(without crown),NA
,6119-8120,,"Seiko 5 6119-8120 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,12mm,39mm(without crown),19mm
,6119-8160,,"Seiko 5 6119-8160 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,37mm(without crown),NA
,6119-8203,,"Seiko 5 6119-8203 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Round,NA,38mm(without crown),NA
,6119-8310,,"Seiko 5 6119-8310 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Round,NA,40mm(without crown),NA
,6119-8410,,"Seiko 5 6119-8410 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,38mm(without crown),NA
,6119-8420,,"Seiko 5 6119-8420 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,70 Meters(baths & showers),Cushion,NA,40mm(without crown),NA
,6119-8430,,"Seiko 5 6119-8430 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,38mm(without crown),NA
,6119-8450,,"Seiko 5 6119-8450 Vintage, Sports Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Sports",Stainless Steel,70 Meters(baths & showers),Cushion,NA,40mm(without crown),NA
,6119-8460,,"Seiko 5 6119-8460 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,70 Meters(baths & showers),Cushion,NA,38mm(without crown),NA
,6119-8470,,"Seiko 5 6119-8470 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,37mm(without crown),20mm
,6119-8490,,"Seiko 5 6119-8490 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,36mm(without crown),NA
,6119-8500,,"Seiko 5 6119-8500 Vintage, Dress Automatic Men's",Seiko,Seiko 5,Automatic,,,"Vintage, Dress",Stainless Steel,30 Meters(splashes & rain),Cushion,NA,38mm(without crown),NA
